ref_id,ref
57,"{'full': 'Domanska, U.; Wlazlo, M.; Karpinska, M. (2016) Fluid Phase Equilib. 417, 50-61.', 'title': 'Activity coefficients at infinite dilution of organic solvents and water in 1-butyl-3-methylimidazolium dicyanamide. A literature review of hexane/hex-1-ene separation'}"
58,"{'full': 'Domanska, U.; Wlazlo, M.; Karpinska, M.; Zawadzki, M. (2017) Fluid Phase Equilib. 449, 1-9.', 'title': 'High selective water/butan-1-ol separation on investigation of limiting activity coefficients with [P8,8,8,8][[NTf2] ionic liquid'}"
59,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}"
60,"{'full': 'Domanska, Urszula; Wlazlo, Michal; Karpinska, Monika; Zawadzki, Maciej (2018) Fluid Phase Equilib. 475, 89-94.', 'title': 'New ionic liquid [P4,4,4,4][NTf2] in bio-butanol extraction on investigation of limiting activity coefficients'}"
61,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wisniewska, Anna; Dabrowski, Zbigniew (2019) Fluid Phase Equilib. 479, 9-16.', 'title': 'Ammonium ionic liquids in extraction of bio-butan-1-ol from water phase using activity coefficients at infinite dilution'}"
62,"{'full': 'Domanska, Urszula; Wlazlo, Michal; Karpinska, Monika (2020) Fluid Phase Equilib. 507, 112424.', 'title': '[DCA]-based ionic liquids for the extraction of sulfur and nitrogen compounds from fuels: Activity coefficients at infinite dilution'}"
63,"{'full': 'Dominguez, I.; Gonzalez, B.; Orge, B.; Held, C.; Voges, M.; Macedo, E. A. (2016) Fluid Phase Equilib. 424, 32-40.', 'title': 'Activity coefficients at infinite dilution for different alcohols and ketones in [EMpy][ESO4]: Experimental data and modeling with PC-SAFT'}"
64,"{'full': 'Ge, M.-L.; Song, X.-J.; Li, G.-M.; Li, Y.-H.; Liu, F.-Z.; Ma, H.-L. (2012) J. Chem. Eng. Data 57(8), 2109-2113.', 'title': 'Activity Coefficients at Infinite Dilution of Alkanes, Alkenes, and Alkyl Benzenes in 1-Butyl-3-methylimidazolium Dibutylphosphate Using Gas Liquid Chromatography'}"
65,"{'full': 'Ge, M.-L.; Deng, X.-M.; Zhang, L.-H.; Chen, J.-Y.; Xiong, J.-M.; Li, W.-H. (2014) J. Chem. Thermodyn. 77, 7-13.', 'title': 'Activity coefficients at infinite dilution of organic solutes in the ionic liquid 1-butyl-3-methylimidazolium methyl sulfate'}"
66,"{'full': 'Ge, M.-L.; Lu, C.-Y.; Liu, X.-Y.; Li, X.-B.; Chen, J.-Y.; Xiong, J.-M. (2015) J. Chem. Thermodyn. 91, 279-285.', 'title': 'Activity coefficients at infinite dilution of alkanes, alkenes, alkyl benzenes in dimethylphosphate based ionic liquids using gas liquid chromatography'}"
67,"{'full': 'Gwala, N. V. V.; Deenadayalu, N.; Tumba, K.; Ramjugernath, D. (2010) J. Chem. Thermodyn. 42(2), 256-261.', 'title': 'Activity coefficients at infinite dilution for solutes in the trioctylmethylammonium bis(trifluoromethylsulfonyl)imide ionic liquid using gas liquid chromatography'}"
68,"{'full': 'He, Zhuang-Zhuang; Li, Rui-Qi; Sun, Ai-Lin; Mu, Zhao; Xiao, Yan-Li; Chang, Hui-Wen; Jiao, Yu-Hai; Ge, Ming-Lan (2020) J. Chem. Thermodyn. 140, 105894.', 'title': 'Experimental and theoretical study on infinite dilution activity coefficients of various solutes in ionic liquid 1-propyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide'}"
69,"{'full': 'Hector, T.; Uhlig, L.; Gmehling, J. (2013) Fluid Phase Equilib. 338, 135-140.', 'title': 'Prediction of different thermodynamic properties for systems of alcohols and sulfate-based anion Ionic Liquids using modified UNIFAC'}"
70,"{'full': 'Inoue, G.; Iwai, Y.; Yasutake, M.; Honda, K.; Arai, Y. (2007) Fluid Phase Equilib. 251(1), 17-23.', 'title': 'Measurement of infinite dilution activity coefficients of n-alkanes in 4-methyl-n-butylpyridinium tetrafluoroborate using gas liquid chromatography'}"
71,"{'full': 'Karpinska, M.; Wlazlo, M. (2020) J. Mol. Liq. 310, 113176.', 'title': 'Application of dicyanamide-based ionic liquid in separation of binary mixtures based on gamma infinity data measurements'}"
72,"{'full': 'Karpinska, M.; Wlazlo, M.; Domanska, U. (2017) J. Mol. Liq. 225, 382-390.', 'title': 'Separation of binary mixtures based on gamma infinity data using [EMIM][TCM] ionic liquid and modelling of thermodynamic functions'}"
73,"{'full': 'Lukhosko, E.; Mutelet, F.; Domanska, U. (2015) J. Chem. Thermodyn. 85, 49-56.', 'title': 'Experimental and theoretically study of interaction between organic compounds and tricyanomethanide based ionic liquids'}"
74,"{'full': 'Marciniak, A.; Wlazlo, M. (2010) J. Chem. Eng. Data 55(9), 3208-3211.', 'title': 'Activity Coefficients at Infinite Dilution Measurements for Organic Solutes and Water in the Ionic Liquid 1-Butyl-3-methyl-pyridinium Trifluoromethanesulfonate'}"
75,"{'full': 'Marciniak, A.; Wlazlo, M. (2012) J. Chem. Thermodyn. 54, 90-96.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties for organic solutes and water in the ionic liquid  1-(2-methoxyethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)-amide'}"
76,"{'full': 'Marciniak, A.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 382-388.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties for organic solutes and water in the ionic liquid 4-(2-methoxyethyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)-amide'}"
77,"{'full': 'Marciniak, A.; Wlazlo, M. (2012) J. Chem. Thermodyn. 49, 137-145.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties  for organic solutes and water in the ionic liquid  1-(2-methoxyethyl)-1-methylpiperidinium bis(trifluoromethylsulfonyl)-amide'}"
78,"{'full': 'Marciniak, A.; Wlazlo, M. (2013) J. Chem. Thermodyn. 57, 197-202.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties  for organic solutes and water in the ionic liquid 1-(2-methoxyethyl)-  1-methylpiperidinium trifluorotris(perfluoroethyl)phosphate'}"
79,"{'full': 'Marciniak, A.; Wlazlo, M. (2013) J. Chem. Thermodyn. 64, 114-119.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties for organic solutes and water in the ionic liquid 1-(2-hydroxyethyl)- 3-methylimidazolium trifluorotris(perfluoroethyl)phosphate'}"
